,index,HHLANP,FBATHP,DRIVESP,RACNH,FWATP,FBROADBNDP,FDRATXP,FWKWNP,HOTWAT,FWKHP,FFULP,FRACP,FJWDP,WORKSTAT,PINCP,FPOBP,STOV,FMHP,RACAIAN,PUBCOV,SRNT,SEX,DOUT,FACCESSP,OTHSVCEX,RACPI,INDP,PRIVCOV,SFN,FINTP,HUPAC,SFR,FBLDP,DEAR,DIS,ACR,VACS,FINSP,FMILPP,MARHYP,ADJHSG,PAP,HINCP,WKWN,RACWHT,GASP,FBDSP,FWKLP,FSCHP,FMARHTP,state_x,JWTRNS,FRNTMP,FOTHSVCEXP,CIT,LAPTOP,FMRGIP,JWRIP,FCOMPOTHXP,FSEMP,ENG,FLANP,FCITWP,FSSIP,FS,DIVISION,WRK,HICOV,DRATX,SMOCP,VPS,NWLA,FACRP,SCIENGRLP,FJWTRNSP,AGS,FSTOVP,FMARHWP,FTELP,QTRBIR,FPERNP,FDISP,WAGP,RWAT,FPLMPRP,TAXAMT,NWLK,ANC2P,FPUBCOVP,REGION,FMARHYP,FRETP,SMP,FTENP,BLD,MAR,SMX,FVEHP,GASFP,VALP,HIMRKS,state_y,FCITP,RACNUM,SPORDER,FANCP,DRAT,ESP,MRGI,ESR,OCCP,FMRGP,COW,MRGP,TABLET,MRGX,MULTG,MRGT,FOCCP,FREFRP,FRWATP,RAC1P,RNTM,DREM,MIGSP,FHICOVP,NWRE,FDIALUPP,RNTP,HUPAOC,MV,FAGSP,ANC,OIP,NP,NR,LNGI,ANC1P,HISPEED,PLM,RAC3P,LANP,OC,FLAPTOPP,FPRIVCOVP,LANX,HUPARC,FMVP,SVAL,RAC2P,FPOWSP,SSP,state_x,NAICSP,WATFP,RMSP,FDRATP,BDSP,FGASP,RESMODE,FSEXP,MHP,REFR,POWSP,FPLMP,JWAP,DIALUP,ELEFP,RELSHIPP,MIG,RC,MIL,WAOB,FHINS7P,RT,INTP,RACASN,FRELSHIPP,FINDP,FHISPEEDP,FPAP,JWMNP,FHINS6P,FKITP,INSP,ST,YBL,FFINCP,FINCP,HINS6,YOEP,FSMXHP,HINS7,FTABLETP,FLANXP,FCOWP,GRNTP,FJWMNP,HINS1,HINS2,HINS3,HINS4,HINS5,state_y,FWAGP,FGRNTP,PUMA,FHINS5P,FSCHGP,FHINS5C,FVACSP,FHOTWATP,FMARHDP,FMIGSP,MARHT,FHINS4P,SERIALNO,DECADE,MARHW,MARHM,FGCRP,FHINS4C,PSF,RACSOR,POBP,CPLT,NOP,FSMARTPHONP,FULP,FHINS3P,SINK,KIT,FVALP,JWDP,WKEXREL,DPHY,FWRKP,FHINS3C,FDEARP,NPP,FHINS2P,FSCHLP,FRWATPRP,MLPCD,FPARC,MIGPUMA,HUGCL,DDRS,MARHD,FMRGXP,SATELLITE,FULFP,POVPIP,BATH,state_x,GCM,FSATELLITEP,FHINS1P,GCL,WKHP,GCR,FRNTP,HFL,FSMP,ADJINC,TYPE,FRMSP,POWPUMA,PARTNER,FELEP,CONP,FMIGP,FFSP,FGCMP,HISP,FESRP,HHL,AGEP,DEYE,SEMP,HHT,OCPIP,FGCLP,FENGP,SCHG,FTAXP,MSP,RACBLK,FMRGTP,FAGEP,FER,MLPFG,SCHL,NATIVITY,SMARTPHONE,FES,VEH,FFERP,HHT2,FDREMP,FYOEP,NWAB,FCONP,FYBLP,FOIP,state_y,FHISP,BROADBND,NWAV,FDPHYP,FFODP,PAOC,FMARHMP,SSIP,FJWRIP,COMPOTHX,FSINKP,ELEP,FHFLP,WIF,FSMXSP,FOD2P,RETP,FSSP,PLMPRP,SCIENGP,CITWP,FMILSP,ACCESS,FPINCP,FOD1P,FMARP,SOCP,MLPE,MLPH,MLPA,FSMOCP,MLPB,FDOUTP,PERNP,SCH,WKL,TEL,TEN,MLPI,MLPJ,MLPK,state
0,2750,9500,0,1,0,0,0,0,0,9,0,0,0,0,10,35000,0,1,0,0,2,0,1,2,0,2,0,7860,1,0,0,2,0,0,2,2,2,0,0,0,2009,1.000000,0,97000,36,1,3,1,0,0,0,28,1,0,0,1,1,1,1,0,0,0,0,0,0,2,6,1,1,0,2146,0,3,0,2,0,1,0,0,0,3,0,0,35000,1,0,1750,3,999,0,3,0,0,0,0,2,3,3,0,3,500000,0,28,0,1,3,0,0,0,1,1,2310,0,4,1700,1,1,1,2,0,0,0,1,0,2,28,0,3,0,0,2,2,0,1,0,3,0,1,22,1,1,1,999,0,0,0,2,2,0,1,1,0,0,28,6111,2,15,0,4,0,2,0,-1,1,28,0,83,2,3,28,3,0,4,1,0,P,0,0,0,0,0,0,20,0,0,0,28,5,0,97000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,28,0,0,1800,0,0,-1,0,0,0,0,2,0,2019HU0338338,0,2,2,0,-1,0,0,48,0,0,0,2,0,1,1,0,40,10,2,0,-1,0,0,0,0,0,-1,2,1400,0,2,1,0,2,2,474,1,28,0,0,0,2,40,0,0,3,0,1.010145,1,0,1700,0,0,0,0,0,0,1,0,1,37,2,0,2,27,0,0,0,0,4,0,0,0,0,-1,22,1,1,5,3,0,10,0,0,3,0,0,0,28,0,1,5,0,0,0,0,0,0,2,0,300,0,2,0,1099,0,0,9,2,1943,0,1,0,3301,0,252020,-1,-1,-1,1,-1,0,35000,1,1,1,1,-1,-1,-1,28
1,14228,9500,0,0,0,0,0,0,0,9,0,0,0,0,7,10200,0,1,0,0,1,1,1,1,0,0,0,169,1,0,0,4,0,0,2,1,0,0,0,0,1997,1.000000,0,40200,0,0,40,0,0,0,0,28,1,0,0,1,1,0,3,0,1,0,0,0,1,2,6,0,1,0,1959,0,3,0,0,1,0,0,0,0,2,1,1,20000,1,0,1250,3,999,1,3,0,1,1200,0,2,5,4,0,3,70000,0,28,1,1,5,0,0,0,2,1,7160,1,1,560,1,2,1,1,1,0,0,1,0,1,0,1,3,0,0,1,4,0,4,0,6,0,1,999,1,1,1,999,0,0,1,2,1,0,1,1,1,0,28,-1,1,4,0,2,0,2,0,-1,1,0,0,0,0,3,20,3,0,4,1,0,P,0,0,0,0,0,0,0,0,0,-1,28,9,1,40200,2,1928,0,2,0,0,0,720,0,1,2,1,2,2,28,0,0,2000,0,0,-1,0,0,0,0,2,0,2019HU0605381,0,2,2,0,-1,0,0,28,1,0,0,2,0,1,1,0,0,7,1,0,0,0,0,0,0,0,-1,4,2000,0,1,2,0,0,2,238,1,28,0,0,0,2,0,0,0,1,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,1,44,2,0,1,0,0,0,0,0,1,1,0,0,0,-1,13,1,2,3,1,0,2,0,0,2,0,1,0,28,0,0,5,0,0,0,0,0,0,2,0,70,0,1,0,1099,5000,0,9,0,1943,0,3,0,1099,0,-1,-1,-1,-1,0,-1,0,0,1,3,1,3,-1,-1,-1,28
2,25007,9500,0,0,0,0,0,0,0,9,0,0,0,0,13,-19999,0,1,0,0,1,1,1,0,0,2,0,169,2,0,0,3,0,0,2,2,1,0,0,0,1939,1.000000,-1,11300,0,0,3,0,0,0,0,28,1,0,0,1,1,0,1,0,1,0,0,0,0,2,6,1,1,0,534,0,3,0,2,0,1,0,0,0,3,1,0,0,1,0,225,3,22,0,3,0,1,0,0,2,1,0,0,4,80000,0,28,0,1,2,0,0,0,0,1,2100,0,6,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,7,0,2,0,2,0,1,50,2,1,1,999,0,0,0,2,4,0,1,1,0,23900,28,-1,2,4,0,2,0,2,0,-1,2,0,0,0,2,3,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,-1,28,3,0,11300,2,1928,0,2,0,0,0,500,0,2,2,2,1,2,28,0,0,1100,0,0,-1,0,0,0,0,0,0,2019HU0782451,0,0,0,0,0,0,0,28,0,7,0,2,0,1,2,0,0,14,0,0,-1,0,0,0,0,0,-1,3,0,0,0,0,0,2,2,33,1,28,0,0,0,0,0,0,0,3,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,1,3,2,-10001,3,0,0,0,0,0,0,1,0,0,0,-1,1,1,2,7,1,0,6,0,0,0,0,0,0,28,0,1,0,0,0,0,0,-1,0,2,0,250,0,1,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,1,0,1,3,-1,-1,-1,28
3,9096,9500,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,1,0,0,2,0,2,2,0,2,0,169,1,0,0,4,0,0,2,2,1,0,0,0,2000,1.000000,0,30000,0,1,3,0,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,2,1,0,218,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,575,2,999,0,3,0,0,0,0,2,1,0,0,3,70000,0,28,0,1,2,0,0,0,0,6,9,0,0,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,5,0,1,0,2,0,1,32,2,1,1,999,0,0,0,2,4,0,1,1,0,0,28,-1,3,5,0,3,0,3,0,-1,1,0,0,0,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,200,28,5,1,30000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,28,0,0,700,0,0,-1,0,0,0,0,2,0,2019HU1316325,0,2,2,0,-1,0,0,28,1,0,0,2,0,1,1,0,0,3,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,196,1,28,0,0,0,2,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,59,2,0,1,9,0,0,0,0,1,0,0,0,0,-1,16,1,1,2,2,0,2,0,0,2,0,0,0,28,0,1,5,0,0,4,0,0,0,2,0,150,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,0,1,3,1,2,-1,-1,-1,28
4,8968,9500,0,0,0,0,0,0,0,9,0,1,0,0,3,0,0,1,0,0,2,0,2,2,0,2,0,169,1,0,0,4,0,0,2,2,1,0,0,0,2006,1.000000,0,30000,0,1,90,0,0,0,0,28,0,0,0,1,2,0,0,0,0,0,0,0,0,2,6,2,1,0,890,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,825,2,32,0,3,0,0,0,0,2,1,3,0,4,65000,0,28,0,1,2,0,0,0,1,6,9,0,0,690,1,1,1,1,0,0,0,1,0,2,0,0,3,0,0,4,5,0,2,0,2,0,1,920,1,1,1,999,0,0,0,2,4,0,1,1,0,0,28,-1,3,6,0,2,0,1,0,-1,1,0,0,0,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,1200,28,3,0,30000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,28,0,0,1700,0,0,-1,0,0,0,0,3,0,2019HU1296942,0,2,2,0,-1,0,0,42,1,0,0,2,0,1,1,0,0,3,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,178,1,28,0,0,0,2,0,0,0,1,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,57,2,0,1,36,0,0,0,0,1,0,0,0,0,-1,11,1,1,2,2,0,2,0,0,2,0,0,0,28,0,1,5,0,0,4,0,0,0,2,0,60,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,1,-1,0,0,1,3,1,1,-1,-1,-1,28
5,15856,9500,0,0,0,0,0,0,0,9,0,0,0,0,9,-19999,1,1,0,0,1,1,2,0,0,2,0,169,2,0,0,3,0,0,2,2,0,0,0,0,1939,1.000000,-1,20000,0,0,3,0,0,1,0,28,0,0,0,1,2,0,0,0,0,0,0,0,0,2,6,0,1,0,283,0,0,0,0,0,0,0,0,0,3,0,0,-1,1,0,925,0,999,0,3,0,0,0,0,2,5,0,0,4,60000,0,28,0,1,3,0,0,7,0,0,9,0,0,0,2,3,1,0,0,0,0,2,0,2,0,0,0,0,0,4,7,0,1,-1,3,0,1,902,2,1,2,999,0,0,0,2,2,0,1,2,0,-1,28,-1,1,4,0,2,0,3,0,-1,1,0,0,0,2,3,25,1,1,0,1,1,P,-10001,0,0,0,0,0,0,1,0,-1,28,5,1,20000,2,1928,0,2,0,1,0,790,0,2,2,2,1,2,28,0,0,800,1,1,-1,0,0,0,0,0,1,2019HU0845527,0,0,0,0,0,0,0,28,1,1,0,2,1,1,1,0,0,9,2,0,-1,1,0,1,1,0,-1,2,0,0,2,0,0,2,2,77,1,28,0,0,1,0,0,0,0,3,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,1,5,2,-10001,1,0,0,0,1,0,0,1,0,0,0,-1,2,1,1,4,2,0,1,1,0,0,0,0,0,28,0,1,0,1,0,0,0,-1,0,1,0,80,0,0,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,2,0,1,3,-1,-1,-1,28
6,21373,9500,0,0,0,0,0,0,0,9,0,1,0,0,0,10000,0,1,0,0,1,0,1,2,0,2,0,7860,2,0,0,4,0,0,2,2,1,0,0,0,2002,1.000000,0,10000,0,0,40,0,0,0,0,28,1,0,0,1,1,0,1,0,1,0,0,0,0,2,6,1,1,0,1325,0,2,0,0,0,0,0,0,0,1,1,0,39000,1,0,1050,2,999,1,3,0,0,0,0,2,1,3,0,4,215000,0,28,0,1,2,0,0,0,1,1,2040,0,2,1100,1,1,1,1,0,0,0,1,0,2,0,1,3,0,0,4,3,0,1,0,2,0,1,939,1,1,1,999,0,0,1,2,4,0,1,1,0,15200,28,6111,3,7,0,3,0,1,0,-1,1,0,0,0,2,3,20,1,0,4,1,0,P,0,0,0,1,0,0,0,0,0,400,28,5,0,-60000,2,1928,0,2,0,0,1,0,0,2,2,1,2,2,28,0,0,2000,0,0,-1,0,0,0,0,1,0,2019HU0176195,0,1,2,0,-1,0,0,6,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,2,2,0,2,2,82,1,28,0,0,0,2,0,0,0,1,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,65,2,0,4,23,0,0,0,0,3,1,0,0,0,-1,21,1,1,0,1,0,9,0,0,2,0,0,0,28,0,1,3,0,0,0,0,0,0,2,0,90,0,-1,0,1099,0,0,9,2,1943,0,1,0,6403,0,1110XX,-1,-1,-1,1,-1,0,0,1,2,1,2,-1,-1,-1,28
7,21512,9500,0,0,0,0,0,0,0,9,0,0,0,0,13,-19999,0,1,0,0,1,1,2,0,0,2,0,169,2,0,0,2,0,0,2,2,0,0,0,0,1939,1.000000,-1,24400,0,0,3,0,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,2,1,0,353,0,2,0,0,0,1,0,0,0,3,0,0,0,1,0,525,2,999,0,3,0,0,0,0,1,5,0,0,3,50000,0,28,0,1,3,0,0,2,0,6,9,0,0,0,2,3,2,0,0,0,0,2,0,2,0,0,3,0,0,2,5,0,1,0,4,0,1,902,1,1,2,999,1,0,0,2,2,0,0,2,0,0,28,-1,3,4,0,2,0,3,0,-1,1,0,0,0,2,3,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,-1,28,7,0,24400,2,1928,0,2,0,0,0,570,0,2,2,2,1,2,28,0,0,600,0,0,-1,0,0,0,0,0,0,2019HU0196461,0,0,0,0,0,0,0,28,0,7,0,2,0,1,1,0,0,13,2,0,-1,0,0,0,0,0,-1,2,0,0,2,0,0,2,2,120,1,28,0,0,0,0,0,0,0,3,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,1,10,2,-10001,3,0,0,0,6,0,0,1,0,0,0,-1,7,1,1,7,1,0,6,0,0,0,0,0,0,28,0,1,0,0,0,0,0,-1,0,2,0,150,0,1,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,2,0,1,3,-1,-1,-1,28
8,17743,9500,0,0,0,0,0,0,0,9,0,0,0,0,1,112500,0,1,0,0,1,0,2,2,0,2,0,7390,1,0,0,4,0,0,2,2,3,0,0,0,1993,1.000000,0,289500,36,0,3,0,0,0,0,28,1,0,0,1,2,1,7,1,1,0,0,0,1,2,6,0,2,0,1923,0,3,1,0,1,0,1,0,1,4,1,0,21000,1,0,775,3,999,0,3,0,1,0,1,1,1,3,1,2,27900,0,28,0,1,4,0,0,0,1,1,5521,1,3,900,2,1,1,1,1,1,1,2,0,2,0,0,3,0,0,4,5,0,1,0,5,0,1,902,0,1,2,999,0,1,0,2,4,1,0,2,1,0,28,5416,3,9,0,3,0,3,0,250,1,28,0,0,1,3,20,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,1500,28,7,0,289500,2,1928,0,2,0,0,0,0,0,1,2,1,2,2,28,0,0,1200,0,0,-1,0,0,0,0,1,0,2019HU1137497,0,2,2,0,-1,0,0,28,1,0,0,2,0,1,1,0,0,4,2,0,0,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,28,0,0,0,2,20,0,0,3,0,1.010145,1,0,990,0,0,0,0,0,0,1,0,1,66,2,50000,1,2,0,0,0,0,1,1,0,0,0,-1,21,1,1,1,4,0,2,0,0,3,0,0,0,28,0,1,5,0,0,4,0,0,0,1,0,180,0,2,0,1099,36100,0,9,1,1943,0,1,0,3600,0,172081,-1,-1,-1,0,-1,0,50000,1,1,1,2,-1,-1,-1,28
9,21463,9500,0,0,0,0,0,0,0,9,0,0,0,0,9,24900,0,1,0,0,1,0,1,2,0,0,0,169,1,0,0,4,0,0,2,2,0,0,1,0,1977,1.000000,0,70600,0,1,3,0,0,0,0,28,1,0,0,1,1,0,1,0,0,0,0,0,0,2,6,1,1,0,105,0,3,0,0,0,1,0,0,0,4,0,0,20000,1,0,0,3,32,1,3,0,0,0,0,1,1,0,0,3,6000,2,28,0,1,2,0,0,0,0,1,4760,0,1,0,2,3,1,0,0,0,0,1,0,2,0,1,3,0,0,4,5,0,2,0,2,0,1,11,0,1,1,999,0,0,1,2,4,0,0,1,0,1000,28,-1,1,5,0,3,0,3,0,-1,1,0,0,0,0,3,20,3,0,2,1,1,P,0,0,0,0,0,0,0,1,0,0,28,16,1,70600,2,1928,0,2,0,0,0,0,0,1,1,1,2,2,28,0,0,2000,1,0,-1,0,0,0,0,2,1,2019HU0190138,0,2,2,0,-1,1,0,36,1,0,0,2,0,1,1,0,0,9,2,0,0,0,0,0,0,0,0,4,2000,0,2,2,0,0,2,271,1,28,0,0,1,2,0,0,0,3,0,1.010145,1,0,0,0,0,610,0,0,0,1,0,1,72,2,0,1,17,0,0,0,1,1,0,0,0,0,0,21,1,1,4,1,0,2,0,0,2,0,0,0,28,0,0,5,0,0,0,0,0,0,2,0,150,0,0,0,1099,5400,1,9,2,1943,0,2,1,6203,0,-1,1,0,0,0,0,0,0,1,3,1,2,0,0,0,28
