,index,HHLANP,FBATHP,DRIVESP,RACNH,FWATP,FBROADBNDP,FDRATXP,FWKWNP,HOTWAT,FWKHP,FFULP,FRACP,FJWDP,WORKSTAT,PINCP,FPOBP,STOV,FMHP,RACAIAN,PUBCOV,SRNT,SEX,DOUT,FACCESSP,OTHSVCEX,RACPI,INDP,PRIVCOV,SFN,FINTP,HUPAC,SFR,FBLDP,DEAR,DIS,ACR,VACS,FINSP,FMILPP,MARHYP,ADJHSG,PAP,HINCP,WKWN,RACWHT,GASP,FBDSP,FWKLP,FSCHP,FMARHTP,state_x,JWTRNS,FRNTMP,FOTHSVCEXP,CIT,LAPTOP,FMRGIP,JWRIP,FCOMPOTHXP,FSEMP,ENG,FLANP,FCITWP,FSSIP,FS,DIVISION,WRK,HICOV,DRATX,SMOCP,VPS,NWLA,FACRP,SCIENGRLP,FJWTRNSP,AGS,FSTOVP,FMARHWP,FTELP,QTRBIR,FPERNP,FDISP,WAGP,RWAT,FPLMPRP,TAXAMT,NWLK,ANC2P,FPUBCOVP,REGION,FMARHYP,FRETP,SMP,FTENP,BLD,MAR,SMX,FVEHP,GASFP,VALP,HIMRKS,state_y,FCITP,RACNUM,SPORDER,FANCP,DRAT,ESP,MRGI,ESR,OCCP,FMRGP,COW,MRGP,TABLET,MRGX,MULTG,MRGT,FOCCP,FREFRP,FRWATP,RAC1P,RNTM,DREM,MIGSP,FHICOVP,NWRE,FDIALUPP,RNTP,HUPAOC,MV,FAGSP,ANC,OIP,NP,NR,LNGI,ANC1P,HISPEED,PLM,RAC3P,LANP,OC,FLAPTOPP,FPRIVCOVP,LANX,HUPARC,FMVP,SVAL,RAC2P,FPOWSP,SSP,state_x,NAICSP,WATFP,RMSP,FDRATP,BDSP,FGASP,RESMODE,FSEXP,MHP,REFR,POWSP,FPLMP,JWAP,DIALUP,ELEFP,RELSHIPP,MIG,RC,MIL,WAOB,FHINS7P,RT,INTP,RACASN,FRELSHIPP,FINDP,FHISPEEDP,FPAP,JWMNP,FHINS6P,FKITP,INSP,ST,YBL,FFINCP,FINCP,HINS6,YOEP,FSMXHP,HINS7,FTABLETP,FLANXP,FCOWP,GRNTP,FJWMNP,HINS1,HINS2,HINS3,HINS4,HINS5,state_y,FWAGP,FGRNTP,PUMA,FHINS5P,FSCHGP,FHINS5C,FVACSP,FHOTWATP,FMARHDP,FMIGSP,MARHT,FHINS4P,SERIALNO,DECADE,MARHW,MARHM,FGCRP,FHINS4C,PSF,RACSOR,POBP,CPLT,NOP,FSMARTPHONP,FULP,FHINS3P,SINK,KIT,FVALP,JWDP,WKEXREL,DPHY,FWRKP,FHINS3C,FDEARP,NPP,FHINS2P,FSCHLP,FRWATPRP,MLPCD,FPARC,MIGPUMA,HUGCL,DDRS,MARHD,FMRGXP,SATELLITE,FULFP,POVPIP,BATH,state_x,GCM,FSATELLITEP,FHINS1P,GCL,WKHP,GCR,FRNTP,HFL,FSMP,ADJINC,TYPE,FRMSP,POWPUMA,PARTNER,FELEP,CONP,FMIGP,FFSP,FGCMP,HISP,FESRP,HHL,AGEP,DEYE,SEMP,HHT,OCPIP,FGCLP,FENGP,SCHG,FTAXP,MSP,RACBLK,FMRGTP,FAGEP,FER,MLPFG,SCHL,NATIVITY,SMARTPHONE,FES,VEH,FFERP,HHT2,FDREMP,FYOEP,NWAB,FCONP,FYBLP,FOIP,state_y,FHISP,BROADBND,NWAV,FDPHYP,FFODP,PAOC,FMARHMP,SSIP,FJWRIP,COMPOTHX,FSINKP,ELEP,FHFLP,WIF,FSMXSP,FOD2P,RETP,FSSP,PLMPRP,SCIENGP,CITWP,FMILSP,ACCESS,FPINCP,FOD1P,FMARP,SOCP,MLPE,MLPH,MLPA,FSMOCP,MLPB,FDOUTP,PERNP,SCH,WKL,TEL,TEN,MLPI,MLPJ,MLPK,state
0,18680,9500,1,0,0,1,1,1,0,9,0,1,0,0,0,12000,1,1,0,0,1,0,1,1,1,2,0,169,1,0,1,4,0,1,2,1,1,0,1,1,1939,1.000000,0,67300,0,0,100,1,1,1,0,26,0,0,1,1,1,0,0,1,1,0,0,0,1,2,3,0,1,2,390,13,3,1,2,0,0,1,0,1,3,1,1,0,1,0,575,3,999,1,2,0,1,0,1,2,5,0,1,4,10000,0,26,1,1,3,0,0,0,0,6,9,0,0,0,2,3,1,0,0,1,1,2,0,2,0,1,3,1,0,4,7,0,4,0,3,1,1,999,2,1,2,999,0,1,1,2,4,1,1,2,0,12000,26,-1,3,6,0,3,1,1,0,-1,1,0,1,0,2,3,36,1,0,2,1,1,P,0,0,0,0,1,1,0,1,1,0,26,1,0,-60000,1,1928,0,2,1,1,0,0,0,2,2,1,1,1,26,1,0,3212,1,0,0,0,0,0,0,0,1,2019HU0766527,0,0,0,0,0,0,0,12,0,0,1,2,1,1,1,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,1,2,2,98,1,26,0,1,1,2,0,0,0,1,0,1.010145,1,1,0,0,1,0,1,1,0,1,1,1,76,2,0,7,7,0,0,0,1,6,1,0,0,0,1,22,1,1,0,1,0,8,1,0,3,0,1,1,26,0,1,5,1,1,0,0,0,0,2,1,150,1,-1,0,1099,0,1,9,2,1943,1,1,1,5404,1,-1,0,0,0,1,0,1,0,1,3,1,2,0,0,0,26
1,18590,9500,0,1,0,0,0,0,0,9,0,0,0,0,1,70000,0,1,0,0,2,0,1,2,0,2,0,3895,1,0,0,4,0,0,2,2,1,0,0,0,1984,1.000000,0,90000,52,1,80,0,0,0,0,26,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,1,1,0,371,0,2,0,0,0,0,0,0,0,4,0,0,70000,1,0,1750,2,999,0,2,1,0,0,0,2,1,0,0,4,300000,0,26,0,1,1,0,0,0,0,1,140,0,1,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,2,0,4,0,2,0,1,999,2,1,1,999,0,0,0,2,4,0,1,1,0,0,26,337,1,8,0,3,0,1,0,-1,1,26,0,65,2,3,20,1,0,4,1,0,P,0,0,0,0,0,0,15,0,0,660,26,8,1,90000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,26,0,0,400,0,0,-1,0,0,0,0,1,0,2019HU0761867,0,2,2,0,-1,0,0,26,1,0,0,2,0,1,1,0,23,2,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,26,0,0,0,2,40,0,0,1,0,1.010145,1,0,400,0,0,0,0,0,0,1,0,1,56,2,0,1,5,0,0,0,0,1,0,0,0,0,-1,20,1,1,1,2,0,2,0,0,2,0,0,0,26,0,1,5,0,0,0,0,0,0,2,0,90,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,113051,-1,-1,-1,0,-1,0,70000,1,1,1,2,-1,-1,-1,26
2,75307,9500,0,1,0,0,0,0,0,9,0,1,0,0,7,27300,0,1,0,0,2,0,2,2,0,2,0,4670,1,0,0,4,0,0,2,2,3,0,0,0,1987,1.000000,0,52300,52,1,90,0,0,0,0,26,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,1,1,0,331,0,3,0,0,0,1,0,0,0,2,0,0,26000,1,0,0,3,999,0,2,0,0,0,0,2,1,0,0,4,250000,0,26,0,1,2,0,0,0,0,1,4760,0,1,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,6,0,1,0,2,0,1,924,1,1,1,999,0,0,0,2,4,0,0,1,0,0,26,4411,3,7,0,4,0,1,0,-1,1,26,0,106,2,3,21,1,0,4,1,0,P,1000,0,0,0,0,0,30,0,0,1000,26,5,0,52300,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,26,0,0,2800,0,0,-1,0,0,0,0,1,0,2019HU0307914,0,2,2,0,-1,0,0,26,1,0,0,2,0,1,1,0,61,7,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,306,1,26,0,0,0,2,40,0,0,2,0,1.010145,1,0,2800,0,0,0,0,0,0,1,0,1,55,2,300,1,8,0,0,0,0,1,0,0,0,0,-1,16,1,1,3,3,0,2,0,0,3,0,0,0,26,0,1,5,0,0,4,0,0,0,2,0,150,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,412031,-1,-1,-1,1,-1,0,26300,1,1,1,2,-1,-1,-1,26
3,97645,9500,0,1,0,0,0,0,0,9,0,0,0,0,1,60000,0,1,0,0,2,0,2,2,0,2,0,7460,1,0,0,4,0,0,2,2,1,0,0,0,2017,1.000000,0,98000,52,1,3,0,0,0,0,26,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,1,1,0,1638,0,3,0,1,0,0,0,0,0,1,0,0,60000,1,0,3050,3,22,0,2,0,0,0,0,2,1,3,0,2,240000,0,26,0,1,1,0,0,0,1,1,440,0,1,1400,1,1,1,1,0,0,0,1,0,2,0,0,3,0,0,4,2,0,2,0,2,0,1,32,1,1,1,999,0,0,0,2,4,0,1,1,0,0,26,5417,3,6,0,3,0,3,0,-1,1,26,0,84,2,3,20,1,0,4,1,0,P,0,0,0,0,0,0,10,0,0,600,26,19,0,98000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,26,0,0,2101,0,0,-1,0,0,0,0,1,0,2019HU1309261,0,2,2,0,-1,0,0,36,1,0,0,2,0,1,1,0,43,1,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,26,0,0,0,0,50,0,0,1,0,1.010145,1,0,2100,0,0,0,0,0,0,1,0,1,27,2,0,1,20,0,0,0,0,1,0,0,0,2,-1,22,1,1,1,2,0,2,0,0,3,0,0,0,26,0,1,5,0,0,4,0,0,0,2,0,200,0,2,0,6199,0,0,9,1,1943,0,1,0,1103,0,1191XX,-1,-1,-1,0,-1,0,60000,1,1,1,1,-1,-1,-1,26
4,3504,9500,0,1,0,0,0,0,0,9,0,0,0,0,1,47400,0,1,0,0,2,1,2,2,0,2,0,3570,1,0,0,4,0,0,2,2,0,0,0,0,2008,1.000000,0,92900,52,1,10,0,0,0,0,26,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,1,1,0,-1,0,3,0,0,0,0,0,0,0,4,0,0,47400,1,0,-1,3,920,0,2,0,0,0,0,7,1,0,0,4,-1,0,26,0,1,1,0,0,0,0,1,7750,0,1,0,1,0,1,0,0,0,0,1,2,2,0,0,3,0,950,4,4,0,2,0,3,0,1,195,1,1,1,999,0,0,0,2,4,0,0,1,0,0,26,336M,1,4,0,2,0,2,0,-1,1,26,0,68,2,3,20,1,0,4,1,0,P,0,0,0,0,0,0,20,0,0,-1,26,6,1,92900,2,1928,0,2,0,0,0,1080,0,1,2,2,2,2,26,0,0,3204,0,0,-1,0,0,0,0,1,0,2019HU0092333,0,2,2,0,-1,0,0,26,1,0,0,2,0,1,1,0,25,2,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,467,1,26,0,0,0,2,50,0,0,1,0,1.010145,1,0,3200,0,0,-1,0,0,0,1,0,1,45,2,0,1,0,0,0,0,0,1,0,0,0,2,-1,18,1,1,1,2,0,2,0,0,3,0,0,0,26,0,1,5,0,0,4,0,0,0,2,0,120,0,3,0,1099,0,0,9,0,1943,0,1,0,1099,0,5120XX,-1,-1,-1,0,-1,0,47400,1,1,1,3,-1,-1,-1,26
5,14743,9500,0,0,0,0,0,0,0,9,0,0,0,0,15,-19999,0,1,0,0,1,0,1,0,0,1,0,169,2,0,0,3,0,0,2,2,3,0,0,0,1939,1.000000,-1,15000,0,1,3,0,0,0,0,26,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,558,0,0,0,0,0,1,0,0,0,4,0,0,-1,1,0,0,0,999,0,2,0,0,0,0,2,5,0,0,3,30000,0,26,0,1,4,0,0,8,0,0,9,0,0,0,1,3,1,0,0,0,0,1,0,2,0,0,0,0,0,3,4,0,1,-1,5,1,1,935,1,1,1,999,1,0,0,2,3,0,0,1,0,-1,26,-1,3,6,0,3,0,1,0,-1,1,0,0,0,2,3,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,0,26,2,1,0,2,1928,0,2,0,0,0,0,0,2,2,2,1,2,26,0,0,100,0,0,-1,0,0,0,0,0,0,2019HU0591004,0,0,0,0,0,0,0,26,3,7,0,1200,0,1,1,0,0,15,2,0,-1,0,0,0,0,0,-1,3,0,0,2,0,0,2,3,0,1,26,0,0,0,0,0,0,0,4,0,1.010145,1,0,0,4,0,0,0,0,0,1,0,1,13,2,-10001,3,45,0,0,9,0,0,0,0,0,0,-1,9,1,1,8,1,0,3,0,0,0,0,0,0,26,0,2,0,0,0,0,0,-1,0,1,0,450,0,0,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,2,0,1,2,-1,-1,-1,26
6,15348,9500,0,1,0,0,0,0,0,9,0,0,0,0,13,32000,0,1,0,0,2,1,1,2,0,2,0,6170,1,0,0,3,0,0,2,2,1,0,0,0,1939,1.000000,0,202300,52,0,3,0,0,0,0,26,1,0,0,1,1,0,1,0,0,0,0,0,0,1,3,1,1,0,-1,0,3,0,0,0,0,0,0,0,1,1,0,32000,1,0,-1,3,999,0,2,0,0,0,0,2,5,0,0,2,-1,0,26,0,1,4,0,0,0,0,1,9620,0,1,0,1,0,2,0,0,0,0,2,2,2,0,0,3,0,800,2,3,0,1,0,10,0,1,902,1,1,2,999,0,0,0,2,3,0,0,2,0,0,26,484,3,9,0,6,0,2,0,-1,1,26,0,82,2,3,25,1,0,4,1,0,P,0,0,0,0,0,0,1,0,0,-1,26,2,1,202300,2,1928,0,2,0,0,0,1100,0,1,2,2,2,2,26,1,0,3210,0,0,-1,0,0,0,0,0,0,2019HU0616643,0,0,0,0,-1,1,0,26,0,0,0,2,0,1,1,0,43,14,2,0,-1,0,0,0,0,0,-1,2,0,1,2,0,0,2,2,369,1,26,0,0,0,0,40,0,0,1,0,1.010145,1,0,3000,0,0,-1,0,0,0,1,0,1,21,2,0,3,0,0,0,0,0,6,1,0,0,0,-1,16,1,1,7,1,0,6,0,0,3,0,1,0,26,0,1,5,0,0,0,0,0,0,2,0,150,0,3,0,1099,0,0,9,0,1943,0,1,1,1099,0,537062,-1,-1,-1,0,-1,0,32000,1,1,1,3,-1,-1,-1,26
7,25975,1235,0,0,0,0,0,0,0,9,0,0,0,0,13,-19999,0,1,0,0,1,0,2,0,0,2,0,169,2,0,0,3,0,0,2,2,1,0,0,0,1939,1.000000,-1,51000,0,1,230,0,0,0,0,26,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3,0,1,0,1793,0,0,0,0,0,0,0,0,0,4,0,0,-1,1,0,1450,0,939,0,2,0,0,0,0,2,5,3,0,4,125000,0,26,0,1,2,0,0,7,1,0,9,0,0,1200,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,3,5,0,2,-1,4,0,1,46,2,1,1,999,1,0,0,2,3,0,1,1,0,-1,26,-1,3,6,0,2,0,1,0,-1,1,0,0,0,2,3,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,1500,26,1,0,51000,2,1928,0,2,0,0,0,0,0,2,2,2,1,2,26,0,0,3203,0,0,-1,0,0,0,0,0,0,2019HU1091958,0,0,0,0,0,0,0,26,0,7,0,2,0,1,1,1,0,13,2,0,-1,0,0,0,0,0,-1,2,0,0,2,0,0,2,2,198,1,26,0,0,0,0,0,0,0,1,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,3,12,2,-10001,3,42,0,0,9,0,0,0,0,0,0,-1,10,1,1,7,1,0,6,0,0,0,0,0,0,26,0,1,0,0,0,0,0,-1,0,2,0,230,0,1,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,3,0,1,1,-1,-1,-1,26
8,2399,9500,0,0,0,0,0,0,0,9,0,0,0,0,10,300,0,1,0,0,2,0,2,2,0,2,0,169,1,0,0,2,0,0,2,2,1,0,0,0,1939,1.000000,0,200900,0,1,200,0,0,0,0,26,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,1,0,1770,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4350,0,999,0,2,0,0,0,0,2,5,3,0,4,210000,0,26,0,1,3,0,0,5,1,0,9,0,0,1300,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,2,3,0,1,300,3,0,1,32,1,1,1,999,1,0,0,2,2,0,1,1,0,0,26,-1,3,7,0,4,0,1,0,-1,1,0,0,0,2,3,25,1,1,0,1,0,P,0,0,0,0,0,0,0,0,0,800,26,5,0,200900,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,26,0,0,3201,0,0,-1,0,0,0,0,0,0,2019HU0046805,0,0,0,0,-1,0,0,39,0,5,0,2,0,1,1,0,0,11,2,0,-1,0,0,0,0,0,-1,2,0,0,2,0,0,2,2,501,1,26,0,0,0,0,0,0,0,1,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,15,2,0,2,11,0,0,11,0,6,0,0,0,2,-1,12,1,1,5,1,0,10,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,2,0,220,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,2,0,1,1,-1,-1,-1,26
9,5582,9500,0,0,0,0,0,0,0,9,0,0,0,0,1,6000,0,1,0,0,2,0,2,2,0,2,0,770,1,0,0,4,0,0,2,2,2,0,0,0,1984,1.000000,0,106000,52,1,30,0,0,0,0,26,11,0,0,1,1,0,0,0,0,0,0,0,0,2,3,1,1,0,1342,0,3,0,0,0,1,0,0,0,1,0,0,6000,1,0,1850,3,999,0,2,0,0,0,0,2,1,3,0,4,150000,0,26,0,1,2,0,0,0,2,1,5120,0,1,1000,1,1,1,2,0,0,0,1,0,2,0,0,3,0,0,4,6,0,1,0,2,0,1,32,1,1,1,999,0,0,0,2,4,0,1,1,0,0,26,23,2,6,0,3,0,3,0,-1,1,26,0,0,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,450,26,1,0,106000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,26,0,0,802,0,0,-1,0,0,0,0,2,0,2019HU0186271,0,2,2,0,-1,0,0,17,1,0,0,2,0,1,1,0,0,2,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,2,501,1,26,0,0,0,2,15,0,0,1,0,1.010145,1,0,800,0,0,0,0,0,0,1,0,1,61,2,0,1,15,0,0,0,0,1,0,0,0,0,-1,16,1,1,1,2,0,2,0,0,3,0,0,0,26,0,1,5,0,0,4,0,0,0,2,0,120,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,433031,-1,-1,-1,0,-1,0,6000,1,1,1,1,-1,-1,-1,26
