,index,HHLANP,FBATHP,DRIVESP,RACNH,FWATP,FBROADBNDP,FDRATXP,FWKWNP,HOTWAT,FWKHP,FFULP,FRACP,FJWDP,WORKSTAT,PINCP,FPOBP,STOV,FMHP,RACAIAN,PUBCOV,SRNT,SEX,DOUT,FACCESSP,OTHSVCEX,RACPI,INDP,PRIVCOV,SFN,FINTP,HUPAC,SFR,FBLDP,DEAR,DIS,ACR,VACS,FINSP,FMILPP,MARHYP,ADJHSG,PAP,HINCP,WKWN,RACWHT,GASP,FBDSP,FWKLP,FSCHP,FMARHTP,state_x,JWTRNS,FRNTMP,FOTHSVCEXP,CIT,LAPTOP,FMRGIP,JWRIP,FCOMPOTHXP,FSEMP,ENG,FLANP,FCITWP,FSSIP,FS,DIVISION,WRK,HICOV,DRATX,SMOCP,VPS,NWLA,FACRP,SCIENGRLP,FJWTRNSP,AGS,FSTOVP,FMARHWP,FTELP,QTRBIR,FPERNP,FDISP,WAGP,RWAT,FPLMPRP,TAXAMT,NWLK,ANC2P,FPUBCOVP,REGION,FMARHYP,FRETP,SMP,FTENP,BLD,MAR,SMX,FVEHP,GASFP,VALP,HIMRKS,state_y,FCITP,RACNUM,SPORDER,FANCP,DRAT,ESP,MRGI,ESR,OCCP,FMRGP,COW,MRGP,TABLET,MRGX,MULTG,MRGT,FOCCP,FREFRP,FRWATP,RAC1P,RNTM,DREM,MIGSP,FHICOVP,NWRE,FDIALUPP,RNTP,HUPAOC,MV,FAGSP,ANC,OIP,NP,NR,LNGI,ANC1P,HISPEED,PLM,RAC3P,LANP,OC,FLAPTOPP,FPRIVCOVP,LANX,HUPARC,FMVP,SVAL,RAC2P,FPOWSP,SSP,state_x,NAICSP,WATFP,RMSP,FDRATP,BDSP,FGASP,RESMODE,FSEXP,MHP,REFR,POWSP,FPLMP,JWAP,DIALUP,ELEFP,RELSHIPP,MIG,RC,MIL,WAOB,FHINS7P,RT,INTP,RACASN,FRELSHIPP,FINDP,FHISPEEDP,FPAP,JWMNP,FHINS6P,FKITP,INSP,ST,YBL,FFINCP,FINCP,HINS6,YOEP,FSMXHP,HINS7,FTABLETP,FLANXP,FCOWP,GRNTP,FJWMNP,HINS1,HINS2,HINS3,HINS4,HINS5,state_y,FWAGP,FGRNTP,PUMA,FHINS5P,FSCHGP,FHINS5C,FVACSP,FHOTWATP,FMARHDP,FMIGSP,MARHT,FHINS4P,SERIALNO,DECADE,MARHW,MARHM,FGCRP,FHINS4C,PSF,RACSOR,POBP,CPLT,NOP,FSMARTPHONP,FULP,FHINS3P,SINK,KIT,FVALP,JWDP,WKEXREL,DPHY,FWRKP,FHINS3C,FDEARP,NPP,FHINS2P,FSCHLP,FRWATPRP,MLPCD,FPARC,MIGPUMA,HUGCL,DDRS,MARHD,FMRGXP,SATELLITE,FULFP,POVPIP,BATH,state_x,GCM,FSATELLITEP,FHINS1P,GCL,WKHP,GCR,FRNTP,HFL,FSMP,ADJINC,TYPE,FRMSP,POWPUMA,PARTNER,FELEP,CONP,FMIGP,FFSP,FGCMP,HISP,FESRP,HHL,AGEP,DEYE,SEMP,HHT,OCPIP,FGCLP,FENGP,SCHG,FTAXP,MSP,RACBLK,FMRGTP,FAGEP,FER,MLPFG,SCHL,NATIVITY,SMARTPHONE,FES,VEH,FFERP,HHT2,FDREMP,FYOEP,NWAB,FCONP,FYBLP,FOIP,state_y,FHISP,BROADBND,NWAV,FDPHYP,FFODP,PAOC,FMARHMP,SSIP,FJWRIP,COMPOTHX,FSINKP,ELEP,FHFLP,WIF,FSMXSP,FOD2P,RETP,FSSP,PLMPRP,SCIENGP,CITWP,FMILSP,ACCESS,FPINCP,FOD1P,FMARP,SOCP,MLPE,MLPH,MLPA,FSMOCP,MLPB,FDOUTP,PERNP,SCH,WKL,TEL,TEN,MLPI,MLPJ,MLPK,state
0,5826,9500,0,1,0,0,0,0,0,9,0,0,0,0,3,6880,0,1,0,0,2,0,1,2,0,2,0,5391,1,0,0,4,0,0,2,2,2,0,0,0,1939,1.000000,0,544880,32,1,170,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,9,1,1,0,2940,0,3,0,0,0,1,0,0,0,1,0,0,6500,1,0,2050,3,32,0,4,0,0,1000,0,2,5,2,0,4,800000,0,2,0,2,1,0,0,0,1,4,9810,0,5,2500,1,1,1,1,0,0,0,9,0,2,0,0,3,0,0,3,4,0,1,0,4,1,1,290,1,1,29,999,0,0,0,2,3,0,1,68,0,0,2,92M1,1,7,0,4,0,3,0,-1,1,2,0,80,2,1,21,3,0,4,1,1,P,0,0,0,1,0,1,20,1,0,-1,2,6,1,95000,2,1928,0,2,0,1,1,2200,1,1,2,2,2,2,2,1,0,300,1,0,-1,0,0,1,1,2,1,2019HU0857331,0,2,2,0,-1,0,0,53,1,0,0,2,1,1,1,0,37,4,2,0,-1,1,0,1,1,0,-1,3,6900,0,2,2,0,2,2,370,1,2,0,0,1,2,40,0,0,3,0,1.010145,1,0,300,0,0,-1,1,0,0,1,1,1,39,2,0,1,0,0,0,0,0,1,0,0,0,0,-1,18,1,1,1,2,0,1,1,0,3,0,0,1,2,0,1,5,1,0,0,0,0,1,2,0,2,0,2,0,1099,0,1,9,0,1943,1,1,1,1099,0,37201X,-1,-1,-1,0,-1,1,42000,1,1,1,3,-1,-1,-1,2
1,5721,9500,0,0,0,0,0,0,0,9,0,0,0,0,3,15200,0,1,0,0,1,0,2,2,0,2,0,169,1,0,0,4,0,0,2,2,1,0,0,0,1957,1.000000,0,101800,0,1,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,9,2,1,0,1132,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,12500,2,999,1,4,0,0,0,0,2,1,3,0,3,250000,2,2,0,1,1,0,0,0,0,1,4251,0,1,0,2,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,5,0,1,1600,1,0,1,26,0,2,1,999,0,0,0,2,4,0,1,1,0,0,2,5615,2,6,0,3,0,2,0,-1,1,0,0,0,2,3,20,1,0,4,5,0,P,0,0,0,0,0,0,0,0,0,800,2,7,1,4000,2,1972,0,2,0,0,0,0,0,1,2,2,2,2,2,0,0,200,0,0,-1,0,0,0,0,1,0,2019HU0805525,4,2,2,0,-1,0,0,103,0,0,0,550,0,1,1,0,0,15,2,0,-1,0,0,0,0,0,-1,2,0,0,2,2,0,2,3,19,1,2,0,0,0,2,0,0,0,4,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,54,2,0,3,101,0,0,0,0,2,0,1,0,0,-1,21,2,1,8,5,0,6,0,0,2,0,0,0,2,0,1,5,0,0,2,0,0,0,2,0,250,0,1,0,6000,0,0,9,1,1943,0,1,1,3600,0,352010,-1,-1,-1,1,-1,0,0,1,2,1,1,-1,-1,-1,2
2,6498,6800,0,0,0,1,0,0,0,9,0,1,0,0,13,27700,0,1,0,1,2,1,1,2,0,0,0,4971,1,0,1,2,0,0,2,2,1,0,0,0,1939,1.000000,0,120700,52,0,3,0,0,0,0,2,12,0,0,1,2,0,0,0,0,1,0,0,0,2,9,1,1,0,-1,0,3,1,0,0,0,0,0,0,3,1,0,22600,1,0,-1,3,999,0,4,0,0,0,0,2,5,0,0,3,-1,0,2,0,1,2,0,0,0,1,1,6355,0,1,1900,1,1,1,1,1,0,0,1,0,2,0,1,3,0,0,4,3,0,1,0,3,0,1,939,2,1,1,999,0,0,1,2,4,0,1,1,1,0,2,5613,1,5,0,3,0,2,0,-1,1,2,0,109,2,3,20,3,0,4,1,0,P,0,0,0,0,0,0,15,0,0,-1,2,22,1,102500,2,1928,0,2,0,0,0,1360,0,2,2,2,2,2,2,1,1,102,0,0,-1,0,0,0,0,1,0,2019HU1328997,0,2,2,0,-1,0,0,2,1,0,0,2,0,1,1,0,67,1,2,0,-1,0,0,0,0,0,-1,2,1190,0,2,2,0,2,2,339,1,2,0,0,0,2,40,0,0,1,0,1.010145,1,0,100,0,1,-1,0,0,0,1,0,1,36,2,0,1,0,0,0,0,0,1,0,0,1,2,-1,17,1,1,1,1,0,1,0,0,3,0,1,0,2,0,1,5,0,0,2,0,0,0,1,0,60,0,3,0,1099,0,0,9,0,1943,0,1,1,1099,0,537062,-1,-1,-1,0,-1,0,75000,1,1,1,3,-1,-1,-1,2
3,1859,9500,0,1,0,0,0,0,0,9,0,0,0,0,1,150000,0,1,0,0,2,0,1,2,0,2,0,770,1,0,0,3,0,0,2,2,1,0,0,0,2006,1.000000,0,152000,52,1,110,1,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,9,1,1,0,2348,0,3,0,0,0,0,0,0,0,1,0,0,150000,1,0,4050,3,999,0,4,0,0,200,0,2,1,2,0,4,390000,0,2,0,1,6,0,0,4,0,6,9,0,0,0,1,3,1,0,0,0,0,4,0,2,0,0,3,0,0,2,7,0,1,1600,6,0,1,922,2,1,3,999,1,0,0,2,2,0,1,32,0,0,2,23,3,6,0,4,0,3,0,-1,1,2,0,79,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,30,0,0,1200,2,6,0,152000,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,2,0,0,101,0,0,-1,0,0,0,0,1,0,2019HU1237097,0,2,2,0,-1,0,0,2,1,0,0,2,0,1,1,0,34,4,2,0,-1,0,0,0,0,0,-1,3,0,0,2,2,0,2,2,445,1,2,0,0,0,2,60,0,0,1,0,1.010145,1,0,100,0,0,0,0,0,0,1,0,1,42,2,0,1,19,0,0,0,0,1,0,0,0,0,-1,19,1,1,1,2,0,1,0,0,3,0,0,0,2,0,1,5,0,0,0,0,0,0,2,0,130,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,499051,-1,-1,-1,0,-1,0,150000,1,1,1,1,-1,-1,-1,2
4,3922,9500,0,0,0,0,0,0,0,9,0,0,0,0,7,222700,0,1,0,0,1,0,1,2,0,1,0,169,1,0,0,4,0,0,2,2,3,0,0,0,1990,1.000000,0,305900,0,1,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,9,2,1,1,1054,2,2,0,2,0,1,0,0,0,2,0,0,0,1,0,4550,2,50,0,4,0,0,0,0,2,1,0,0,3,360000,0,2,0,1,2,0,0,7,0,6,4622,0,1,0,2,3,1,0,1,0,0,1,0,2,0,0,3,0,0,2,4,0,2,0,2,0,1,51,2,1,1,999,1,0,0,2,2,0,1,1,0,0,2,622M,2,6,0,2,1,3,0,-1,1,0,1,0,0,3,36,1,0,4,1,1,P,0,0,0,1,0,1,0,1,1,-1,2,4,0,-60000,2,1928,0,2,1,1,1,650,0,1,1,2,2,2,2,1,1,200,1,0,-1,0,0,0,0,0,1,2019HU1108116,0,0,0,0,-1,0,0,2,0,0,1,2,1,1,1,0,0,0,2,0,-1,1,0,1,1,0,-1,0,0,0,2,0,0,0,2,37,1,2,0,0,1,0,12,0,1,4,0,1.010145,1,1,0,0,1,-1,1,1,0,1,1,5,27,2,0,7,0,0,0,0,0,6,0,0,1,2,-1,18,1,1,0,1,1,8,1,0,3,0,0,1,2,0,0,5,1,0,4,0,0,0,2,1,100,1,-1,0,1099,0,1,9,0,1943,1,3,1,1099,1,311131,-1,-1,-1,0,-1,1,5000,1,1,1,3,-1,-1,-1,2
5,1743,6800,0,0,0,0,0,0,0,9,0,0,0,0,13,-19999,0,1,0,1,2,0,2,0,0,2,0,169,1,0,0,2,0,0,2,2,1,0,1,0,1939,1.000000,-1,127800,0,0,30,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,2,9,0,1,0,1780,0,0,0,0,0,0,0,0,0,3,0,0,-1,1,0,4550,0,999,0,4,0,0,0,0,2,5,3,0,4,400000,0,2,0,1,2,0,0,0,0,6,137,0,1,0,1,0,1,0,0,0,0,1,2,1,0,0,3,0,2100,2,2,0,1,0,5,0,1,32,1,1,1,999,0,0,0,2,2,0,0,1,0,27000,2,-1,3,4,0,3,0,2,0,-1,1,0,0,0,2,3,25,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,1500,2,6,0,127800,2,1928,0,1,0,0,0,0,0,1,2,2,2,2,2,0,0,400,0,0,-1,0,0,0,0,0,0,2019HU1135565,0,0,0,0,-1,0,0,2,0,7,0,3000,0,1,1,0,0,13,2,0,-1,0,0,0,0,0,-1,2,0,0,2,0,0,2,3,500,1,2,0,0,0,0,0,0,0,4,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,5,6,2,-10001,3,17,0,0,2,0,0,0,1,0,0,-1,3,1,1,7,2,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,-1,0,2,0,150,0,1,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,1,-1,0,-10001,2,0,1,1,-1,-1,-1,2
6,5610,1200,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,1,0,0,2,1,1,2,0,2,0,169,1,0,0,2,0,0,2,2,0,0,0,0,1939,1.000000,0,110000,0,0,3,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,2,9,2,1,0,-1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,-1,2,999,0,4,0,0,0,0,4,5,0,0,1,-1,0,2,0,1,2,0,0,0,0,6,9,0,0,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,7,0,1,0,2,0,1,22,1,1,1,999,0,0,0,2,4,0,1,1,0,4800,2,-1,2,3,0,2,0,2,0,-1,1,0,0,0,2,3,21,1,0,4,7,0,P,0,0,0,0,0,0,0,0,0,-1,2,4,0,279200,2,2010,0,2,0,0,0,870,0,2,2,2,2,2,2,0,0,200,0,0,-1,0,0,0,0,1,0,2019HU0714260,8,2,2,0,-1,0,0,301,1,0,0,2,0,1,1,0,0,6,2,0,-1,0,0,0,0,0,-1,1,0,0,2,2,0,2,2,501,1,2,0,0,0,0,0,0,0,4,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,3,25,2,0,1,0,0,0,0,0,1,0,0,0,1,-1,16,1,1,4,3,0,1,0,0,2,0,1,0,2,0,1,5,0,0,1,0,0,0,2,0,80,0,1,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,0,1,3,1,3,-1,-1,-1,2
7,4290,9500,1,1,0,0,0,0,0,9,0,0,0,1,1,56600,0,1,0,0,2,0,2,2,0,2,0,8191,1,0,1,1,0,0,2,2,1,0,0,0,2018,1.000000,0,142100,52,1,3,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,9,1,1,0,2462,0,3,0,0,0,0,0,0,0,2,0,0,55000,1,0,3850,3,999,0,4,0,0,0,0,2,1,3,0,3,350000,0,2,0,1,2,0,0,0,0,1,5740,0,2,0,2,3,1,0,0,0,0,4,0,2,0,0,3,0,0,4,6,0,1,1100,3,0,1,922,2,1,3,6800,0,0,0,1,4,1,1,32,0,0,2,-1,3,5,0,3,0,2,0,0,1,0,0,0,2,3,36,1,0,0,1,0,P,-10001,0,0,0,0,0,0,0,0,1000,2,4,0,1240,2,1928,0,1,0,0,0,0,0,1,2,2,2,2,2,0,0,400,0,0,-1,0,0,0,0,0,0,2019HU1353154,0,0,0,0,-1,0,0,2,0,0,0,3500,0,1,1,1,0,12,2,0,-1,0,0,0,0,0,-1,1,0,0,2,0,0,2,3,-1,1,2,0,0,0,0,0,0,0,3,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,9,2,-10001,2,30,0,0,6,0,0,0,0,0,0,-1,6,1,1,6,1,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,-1,0,2,0,550,0,0,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,1,-1,0,-10001,2,0,1,2,-1,-1,-1,2
8,2202,999,-1,0,0,-1,-1,0,0,0,0,-1,0,0,0,95000,0,0,-1,0,2,-1,1,2,-1,0,0,7780,1,0,0,0,0,-1,2,2,0,0,-1,0,1992,1.000000,0,-60000,52,1,3,-1,0,0,0,2,10,-1,-1,1,0,-1,0,-1,0,0,0,0,0,2,9,1,1,0,-1,0,3,-1,0,0,0,-1,0,-1,1,0,0,95000,0,-1,-1,3,999,0,4,0,0,0,-1,0,3,0,-1,0,-1,0,2,0,1,6,0,0,2,0,0,9,0,0,0,1,0,1,0,0,0,0,1,2,2,20,1,0,0,2200,2,1,0,4,-1,6,0,1,999,1,1,1,999,1,0,1,2,2,0,0,1,0,-1,2,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,37,1,-1,3,1,0,P,0,0,0,0,-1,0,0,0,-1,-1,2,0,-1,-60000,2,1928,-1,2,-1,0,0,0,0,2,2,1,1,2,2,0,-1,102,0,0,-1,-1,-1,0,0,0,0,2019GQ0074435,0,0,0,0,0,-1,0,51,0,0,-1,2,0,0,0,-1,0,0,2,0,0,0,-1,0,0,-1,-1,0,0,-1,1,0,-1,0,0,-1,0,2,0,-1,0,2,0,0,-1,0,-1,1.010145,2,-1,0,-1,-1,-1,0,0,0,1,0,0,55,2,0,0,0,0,0,0,-1,6,0,-1,0,0,-1,19,1,0,0,-1,0,0,0,0,3,-1,-1,0,2,0,0,5,0,0,0,0,12000,0,0,-1,2,-1,-1,-1,1099,0,0,0,0,1943,0,0,1,1099,0,-1,-1,-1,-1,-1,-1,0,0,1,3,0,0,-1,-1,-1,2
9,2273,999,-1,0,0,-1,-1,0,0,0,0,-1,0,1,0,18600,0,0,-1,1,2,-1,2,2,-1,0,0,7870,2,0,0,0,0,-1,2,2,0,0,-1,0,1939,1.000000,0,-60000,40,0,3,-1,0,0,0,2,10,-1,-1,1,0,-1,0,-1,0,0,0,0,0,2,9,1,2,0,-1,0,3,-1,0,0,0,-1,0,-1,2,0,0,17000,0,-1,-1,3,210,0,4,0,0,0,-1,0,5,0,-1,0,-1,0,2,0,1,2,0,0,0,0,1,4030,0,1,0,1,0,1,0,0,0,0,4,2,2,2,0,3,0,980,3,1,0,1,1600,9,1,1,920,1,1,3,999,0,0,0,2,3,0,0,36,0,0,2,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,37,1,-1,2,1,0,P,0,0,0,0,-1,0,0,0,-1,-1,2,0,-1,-60000,2,1928,-1,2,-1,0,0,0,0,1,2,1,2,1,2,0,-1,101,0,0,0,-1,-1,0,0,1,0,2019GQ0132455,0,2,2,0,-1,-1,0,42,0,0,-1,2,0,0,0,-1,0,0,1,0,0,0,-1,0,0,-1,1,0,0,-1,1,2,-1,0,0,-1,0,2,0,-1,0,2,0,0,-1,0,-1,1.010145,2,-1,0,-1,-1,-1,0,0,0,1,0,0,75,1,0,0,0,0,0,0,-1,2,0,-1,0,0,0,19,1,0,0,-1,0,0,0,0,3,-1,-1,0,2,0,0,5,0,0,0,0,0,0,0,-1,2,-1,-1,-1,1099,54000,0,0,0,1943,0,0,0,1099,0,-1,1,0,0,-1,0,0,0,1,3,0,0,0,0,0,2
