,index,HHLANP,FBATHP,DRIVESP,RACNH,FWATP,FBROADBNDP,FDRATXP,FWKWNP,HOTWAT,FWKHP,FFULP,FRACP,FJWDP,WORKSTAT,PINCP,FPOBP,STOV,FMHP,RACAIAN,PUBCOV,SRNT,SEX,DOUT,FACCESSP,OTHSVCEX,RACPI,INDP,PRIVCOV,SFN,FINTP,HUPAC,SFR,FBLDP,DEAR,DIS,ACR,VACS,FINSP,FMILPP,MARHYP,ADJHSG,PAP,HINCP,WKWN,RACWHT,GASP,FBDSP,FWKLP,FSCHP,FMARHTP,state_x,JWTRNS,FRNTMP,FOTHSVCEXP,CIT,LAPTOP,FMRGIP,JWRIP,FCOMPOTHXP,FSEMP,ENG,FLANP,FCITWP,FSSIP,FS,DIVISION,WRK,HICOV,DRATX,SMOCP,VPS,NWLA,FACRP,SCIENGRLP,FJWTRNSP,AGS,FSTOVP,FMARHWP,FTELP,QTRBIR,FPERNP,FDISP,WAGP,RWAT,FPLMPRP,TAXAMT,NWLK,ANC2P,FPUBCOVP,REGION,FMARHYP,FRETP,SMP,FTENP,BLD,MAR,SMX,FVEHP,GASFP,VALP,HIMRKS,state_y,FCITP,RACNUM,SPORDER,FANCP,DRAT,ESP,MRGI,ESR,OCCP,FMRGP,COW,MRGP,TABLET,MRGX,MULTG,MRGT,FOCCP,FREFRP,FRWATP,RAC1P,RNTM,DREM,MIGSP,FHICOVP,NWRE,FDIALUPP,RNTP,HUPAOC,MV,FAGSP,ANC,OIP,NP,NR,LNGI,ANC1P,HISPEED,PLM,RAC3P,LANP,OC,FLAPTOPP,FPRIVCOVP,LANX,HUPARC,FMVP,SVAL,RAC2P,FPOWSP,SSP,state_x,NAICSP,WATFP,RMSP,FDRATP,BDSP,FGASP,RESMODE,FSEXP,MHP,REFR,POWSP,FPLMP,JWAP,DIALUP,ELEFP,RELSHIPP,MIG,RC,MIL,WAOB,FHINS7P,RT,INTP,RACASN,FRELSHIPP,FINDP,FHISPEEDP,FPAP,JWMNP,FHINS6P,FKITP,INSP,ST,YBL,FFINCP,FINCP,HINS6,YOEP,FSMXHP,HINS7,FTABLETP,FLANXP,FCOWP,GRNTP,FJWMNP,HINS1,HINS2,HINS3,HINS4,HINS5,state_y,FWAGP,FGRNTP,PUMA,FHINS5P,FSCHGP,FHINS5C,FVACSP,FHOTWATP,FMARHDP,FMIGSP,MARHT,FHINS4P,SERIALNO,DECADE,MARHW,MARHM,FGCRP,FHINS4C,PSF,RACSOR,POBP,CPLT,NOP,FSMARTPHONP,FULP,FHINS3P,SINK,KIT,FVALP,JWDP,WKEXREL,DPHY,FWRKP,FHINS3C,FDEARP,NPP,FHINS2P,FSCHLP,FRWATPRP,MLPCD,FPARC,MIGPUMA,HUGCL,DDRS,MARHD,FMRGXP,SATELLITE,FULFP,POVPIP,BATH,state_x,GCM,FSATELLITEP,FHINS1P,GCL,WKHP,GCR,FRNTP,HFL,FSMP,ADJINC,TYPE,FRMSP,POWPUMA,PARTNER,FELEP,CONP,FMIGP,FFSP,FGCMP,HISP,FESRP,HHL,AGEP,DEYE,SEMP,HHT,OCPIP,FGCLP,FENGP,SCHG,FTAXP,MSP,RACBLK,FMRGTP,FAGEP,FER,MLPFG,SCHL,NATIVITY,SMARTPHONE,FES,VEH,FFERP,HHT2,FDREMP,FYOEP,NWAB,FCONP,FYBLP,FOIP,state_y,FHISP,BROADBND,NWAV,FDPHYP,FFODP,PAOC,FMARHMP,SSIP,FJWRIP,COMPOTHX,FSINKP,ELEP,FHFLP,WIF,FSMXSP,FOD2P,RETP,FSSP,PLMPRP,SCIENGP,CITWP,FMILSP,ACCESS,FPINCP,FOD1P,FMARP,SOCP,MLPE,MLPH,MLPA,FSMOCP,MLPB,FDOUTP,PERNP,SCH,WKL,TEL,TEN,MLPI,MLPJ,MLPK,state
0,1294,9500,0,0,0,0,0,0,0,9,0,0,0,0,9,64000,1,1,0,0,1,0,1,2,0,2,0,169,1,0,1,4,0,0,1,1,2,0,0,0,1978,1.000000,0,64000,0,1,3,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,760,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,3650,2,51,0,1,0,0,0,0,2,3,0,0,4,360000,0,23,0,1,1,0,3,0,0,6,9,0,0,0,1,3,1,0,0,0,0,1,0,2,0,1,3,0,0,4,7,0,1,4000,2,0,1,22,1,1,1,999,0,0,1,2,4,0,1,1,0,5000,23,-1,2,4,0,1,0,1,0,-1,1,0,0,0,2,3,20,1,0,2,1,1,P,0,0,0,0,0,1,0,0,0,800,23,4,1,64000,1,1928,0,2,0,0,0,0,0,1,2,1,2,1,23,0,0,200,0,0,0,0,0,0,0,1,1,2019HU0327607,0,2,2,0,-1,0,0,25,1,0,0,1500,0,1,1,0,0,9,2,0,0,0,0,1,0,0,1,4,0,0,2,2,0,2,3,420,1,23,0,0,0,2,0,0,0,2,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,49,2,0,3,17,0,0,0,0,4,0,0,0,2,-1,16,1,2,8,1,0,7,0,0,2,0,0,0,23,0,1,5,0,0,0,0,0,0,2,0,200,0,0,0,1099,55000,0,9,2,1943,0,1,1,2300,0,-1,0,0,0,0,0,0,0,1,3,1,2,0,0,0,23
1,430,9500,0,0,0,0,0,0,0,9,0,1,0,0,2,8500,0,1,0,0,2,0,2,2,0,2,0,7480,2,0,0,4,0,0,2,2,2,0,1,0,2017,1.000000,0,43500,26,1,3,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,394,0,3,0,2,0,1,0,0,0,2,0,0,0,1,0,1250,2,999,0,1,0,0,0,0,2,1,3,0,3,175000,2,23,0,1,2,0,0,0,2,3,3648,0,7,580,1,1,1,1,0,0,0,1,0,2,23,0,3,0,0,4,1,0,2,0,2,0,1,87,1,1,1,999,0,0,0,2,4,0,1,1,0,0,23,54194,2,5,0,2,1,3,0,-1,1,0,0,0,2,3,21,3,0,4,1,0,P,0,0,0,0,0,0,0,0,0,80,23,5,1,43500,2,1928,0,2,0,0,0,0,0,2,2,2,2,2,23,0,0,200,0,0,-1,0,0,0,0,1,0,2019HU0061080,0,2,2,0,-1,0,0,23,1,0,0,1100,0,1,1,0,0,2,2,0,-1,0,0,0,0,0,-1,4,400,0,2,2,0,2,3,255,1,23,0,0,0,2,0,0,0,4,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,77,2,0,1,12,0,0,0,0,1,0,0,0,0,-1,21,1,2,4,2,0,2,0,0,3,0,0,0,23,0,1,1,0,0,4,0,0,0,2,0,50,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,319096,-1,-1,-1,1,-1,0,8500,1,1,1,1,-1,-1,-1,23
2,2091,9500,0,0,0,0,1,0,0,9,0,0,0,0,0,13000,0,1,0,0,1,1,2,2,0,2,0,169,2,0,0,4,0,0,2,1,2,0,0,0,1968,1.000000,0,13000,0,1,80,0,0,0,1,23,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,1,0,-1,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,-1,2,88,1,1,0,0,0,0,9,2,0,0,1,-1,2,23,0,1,1,0,0,0,0,6,9,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,3,0,500,4,4,0,4,0,1,0,1,999,1,1,1,999,0,0,0,2,4,0,0,1,0,0,23,-1,2,5,0,2,0,3,0,-1,1,0,0,0,2,3,20,1,0,4,1,0,P,0,0,0,0,0,0,0,0,0,-1,23,6,0,-60000,2,1928,0,2,0,0,0,1100,0,2,2,1,1,2,23,0,0,200,0,0,-1,0,0,0,0,1,0,2019HU0609594,0,2,2,0,1,0,0,23,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,2,2,0,2,2,107,1,23,0,0,1,2,0,0,1,1,0,1.010145,1,0,0,0,0,-1,0,0,0,1,0,1,96,2,0,6,0,0,0,0,0,3,0,0,0,0,-1,16,1,2,0,0,0,5,0,0,2,0,0,0,23,0,1,5,0,0,4,0,13000,0,2,0,520,0,-1,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,0,1,3,1,3,-1,-1,-1,23
3,8242,9500,0,0,0,0,0,0,0,9,0,0,0,0,3,-19999,1,1,0,0,2,1,2,0,0,2,0,169,1,0,0,3,0,0,2,2,1,0,0,0,1939,1.000000,-1,82000,0,1,50,0,0,1,0,23,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,1,1,0,1209,0,3,0,0,0,1,0,0,0,4,1,0,30000,1,0,4050,3,142,0,1,0,0,0,0,2,5,3,0,4,270000,2,23,0,1,2,0,0,0,1,1,120,0,1,2000,2,1,1,1,0,0,0,1,0,2,0,0,3,0,0,2,5,0,1,0,4,0,1,924,1,1,1,999,0,0,0,2,2,0,1,1,0,0,23,4411,2,7,0,4,1,1,0,-1,1,23,0,88,2,3,21,1,0,4,1,0,P,0,0,0,0,0,0,30,0,0,800,23,7,1,146500,2,1928,0,2,0,0,0,0,0,1,2,2,2,2,23,0,0,700,0,0,-1,0,0,0,0,3,0,2019HU1143536,0,2,2,0,-1,0,0,25,1,0,0,350,0,1,1,0,43,1,2,0,-1,0,0,0,0,0,-1,2,0,0,2,2,0,2,3,501,1,23,0,0,0,0,40,0,0,2,0,1.010145,1,0,200,0,0,0,0,0,0,1,0,1,22,2,0,1,14,0,0,15,0,6,0,0,0,0,-1,19,1,1,4,2,0,2,0,0,3,0,0,0,23,0,1,0,1,0,0,0,-1,0,2,0,100,0,2,0,1099,-1,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,-10001,2,0,1,3,-1,-1,-1,23
4,1817,9500,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,1,0,1,1,1,2,2,0,2,0,169,2,0,0,2,0,0,2,2,2,0,0,0,1939,1.000000,0,37600,0,0,10,0,0,0,0,23,1,0,0,1,2,0,1,0,0,0,0,0,0,2,1,1,1,0,539,0,3,0,2,0,1,0,0,0,3,0,0,34000,1,0,125,3,999,0,1,0,0,0,0,2,1,0,0,3,150000,0,23,0,1,2,0,0,7,0,6,9,0,0,0,2,0,1,0,0,0,0,3,0,2,0,0,3,0,0,2,5,0,2,0,4,0,1,26,1,1,3,999,1,0,0,2,2,0,0,28,0,0,23,-1,2,8,0,5,0,2,0,-1,1,0,0,0,2,3,25,1,1,4,1,0,P,0,0,0,0,0,0,0,0,0,-1,23,1,1,37600,2,1928,0,1,0,0,0,0,0,2,2,2,1,2,23,0,0,300,0,0,-1,0,0,0,0,0,0,2019HU0499883,0,0,0,0,0,0,0,23,0,7,0,2,0,1,1,0,0,13,2,0,-1,0,0,0,0,0,-1,2,0,0,2,0,0,2,2,146,1,23,0,0,0,0,32,0,0,4,0,1.010145,1,0,100,0,0,0,0,0,0,1,0,1,29,2,0,1,9,0,0,0,0,1,0,0,0,2,-1,21,1,1,1,2,0,1,0,0,3,0,0,0,23,0,1,5,0,0,4,0,0,0,2,0,250,0,2,0,1099,0,0,9,0,1943,0,1,0,1099,0,-1,-1,-1,-1,0,-1,0,0,2,3,1,4,-1,-1,-1,23
5,12051,9500,0,0,0,0,0,0,0,9,0,0,0,0,9,63740,0,1,0,0,1,0,1,2,0,2,0,169,2,0,0,4,0,0,2,2,2,0,0,0,1972,1.000000,0,79780,0,1,260,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,1663,0,2,0,2,0,0,0,0,0,3,0,0,0,1,0,775,2,999,0,1,0,0,210,0,2,3,1,0,3,200000,0,23,0,1,1,0,0,0,1,6,9,0,0,1000,1,1,1,1,0,0,0,1,0,1,0,0,3,0,0,4,7,0,1,0,2,1,1,50,2,1,1,999,0,0,0,2,4,0,1,1,0,1000,23,-1,3,9,0,3,1,3,0,-1,1,0,0,0,2,3,20,1,0,4,1,0,P,227000,0,0,0,0,0,0,0,0,1500,23,2,0,-60000,2,1928,0,2,0,0,0,0,0,2,2,2,1,2,23,0,0,800,0,0,-1,0,0,0,0,2,0,2019HU0903329,0,2,2,0,0,0,0,23,0,0,0,3000,0,1,1,0,0,0,2,0,-1,0,0,0,0,0,-1,0,0,0,2,2,0,2,3,501,1,23,0,0,0,2,0,0,0,4,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,56,2,0,7,5,0,0,0,0,4,0,0,0,0,-1,22,1,1,0,2,0,8,0,0,2,0,0,0,23,0,1,5,0,0,0,0,0,0,2,0,80,0,0,0,1099,3100,0,9,2,1943,0,1,0,6402,0,-1,1,0,0,0,0,0,0,1,3,1,2,0,0,0,23
6,3042,9500,0,1,0,0,0,0,0,9,0,0,0,0,15,27900,0,1,0,0,2,1,1,2,0,0,0,770,2,0,0,4,0,0,2,2,1,0,0,0,2001,1.000000,0,60900,40,1,100,0,0,0,0,23,1,0,0,1,2,0,1,0,0,0,0,0,0,2,1,1,1,0,1175,0,3,0,2,0,0,0,0,0,2,0,0,25000,1,0,6500,3,32,0,1,0,0,0,0,2,5,0,0,3,180000,0,23,0,1,2,0,0,0,0,1,6410,0,1,0,2,0,1,0,0,0,0,1,2,2,23,0,3,0,680,4,1,0,1,0,3,1,1,26,0,1,1,999,0,0,0,2,4,0,0,1,0,0,23,23,1,4,0,2,0,2,0,-1,1,23,0,85,0,3,22,3,0,4,1,0,P,0,0,0,0,0,0,15,0,0,-1,23,11,0,33000,2,1928,0,2,0,0,0,900,0,2,2,2,2,2,23,1,0,400,0,0,-1,0,0,0,0,1,0,2019HU0906665,0,2,2,0,-1,0,0,23,3,0,0,2,0,1,1,0,43,15,2,0,-1,0,0,0,0,0,-1,4,400,0,2,2,0,0,2,211,1,23,0,0,0,2,35,0,0,4,0,1.010145,1,0,500,0,0,0,0,0,0,1,0,1,57,2,0,6,50,0,0,0,0,6,0,0,0,0,-1,21,1,1,0,1,0,5,0,0,3,0,0,0,23,0,0,5,0,0,0,0,0,0,2,0,120,0,1,0,1099,0,0,9,0,1943,0,3,1,1099,0,472140,-1,-1,-1,0,-1,0,27900,1,1,1,3,-1,-1,-1,23
7,10673,9500,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,1,0,0,1,0,1,2,0,2,0,770,1,1,0,1,1,0,2,2,0,0,0,0,1990,1.000000,0,103000,0,1,3,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1803,0,0,0,0,0,0,0,0,0,3,0,0,-1,1,0,1550,0,50,0,1,0,0,80,0,2,5,2,0,3,150000,0,23,0,1,4,0,0,7,1,0,9,0,0,920,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,4,3,0,2,-1,5,0,1,935,1,1,1,999,0,0,0,0,3,0,1,1,0,-1,23,-1,2,8,0,4,0,3,0,-1,1,0,0,0,2,3,30,1,1,0,1,0,P,-10001,0,0,0,0,0,0,0,0,710,23,5,0,80800,2,1928,0,2,0,0,0,0,0,2,2,2,1,2,23,0,0,600,0,0,-1,0,0,0,0,0,0,2019HU0472495,0,0,0,0,0,1,0,23,0,7,0,3400,0,1,1,0,0,14,0,0,-1,0,0,0,0,0,-1,3,0,1,0,0,0,2,3,262,1,23,0,0,0,0,0,0,0,4,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,4,2,-10001,3,27,0,0,1,0,0,0,0,0,0,-1,1,1,1,7,3,0,7,0,0,0,0,0,0,23,0,1,2,0,0,0,1,0,0,1,0,270,0,3,0,1099,0,0,9,0,1943,0,1,0,1099,0,472152,-1,-1,-1,0,-1,0,0,1,2,1,2,-1,-1,-1,23
8,7063,9500,0,0,0,0,0,0,0,9,0,0,0,0,1,8500,0,1,0,0,2,0,1,2,0,2,0,770,1,0,0,4,0,0,2,2,3,0,0,0,1939,1.000000,0,204640,20,1,3,0,0,0,0,23,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,1,1,0,961,0,3,0,0,0,1,0,0,0,3,0,0,135000,1,0,2050,3,999,0,1,0,0,0,0,2,1,3,0,3,50000,0,23,0,1,1,0,0,0,2,6,9,0,0,150,1,1,2,2,0,0,0,2,0,2,0,1,3,0,0,4,5,0,1,14000,5,0,1,902,1,1,2,999,0,0,1,2,2,0,1,2,0,26000,23,-1,2,9,0,4,0,3,0,-1,1,0,0,0,2,3,20,1,0,4,1,1,P,1000,0,0,0,0,0,0,1,0,1200,23,9,0,162200,2,1928,0,2,0,0,0,0,0,1,2,1,2,2,23,0,0,400,1,0,-1,0,0,0,0,1,1,2019HU0704650,0,2,2,0,-1,1,0,23,1,0,0,2,0,1,1,0,0,7,2,0,0,0,0,1,0,0,-1,2,0,1,2,2,0,2,2,501,1,23,0,0,0,2,65,0,0,3,0,1.010145,1,1,300,0,0,0,0,0,0,1,0,1,41,2,0,1,8,0,0,0,0,1,0,0,0,0,-1,16,1,1,1,2,0,1,0,0,3,0,0,0,23,0,1,5,0,0,0,0,0,0,2,0,230,0,3,0,1099,0,0,9,0,1943,0,1,0,1099,0,473010,-1,-1,-1,0,-1,0,8500,1,1,1,2,-1,-1,-1,23
9,2066,9500,0,0,0,0,0,0,0,9,0,0,0,0,1,70000,0,1,0,0,2,0,2,2,0,2,0,8870,1,0,0,4,0,0,2,2,1,0,0,0,1995,1.000000,0,130000,52,1,80,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,2,704,12,2,0,0,0,1,0,0,0,3,0,0,40000,1,0,725,2,88,0,1,0,0,0,0,3,3,3,0,4,65000,2,23,0,1,1,0,0,0,0,1,7560,0,7,0,1,3,1,0,0,0,0,1,0,2,0,0,3,0,0,4,7,0,1,0,2,0,1,22,1,1,1,999,0,0,0,2,4,0,1,1,0,0,23,8113,2,7,0,2,0,2,0,-1,1,23,0,0,2,3,20,1,0,4,1,0,P,10000,0,0,0,0,0,0,0,0,500,23,3,0,130000,2,1928,0,2,0,0,0,0,0,2,1,2,2,2,23,0,0,500,0,0,-1,0,0,0,0,1,0,2019HU0597485,0,2,2,0,-1,0,0,6,1,0,0,600,0,1,1,0,0,1,2,0,-1,0,0,0,0,0,-1,4,0,0,2,2,0,2,3,501,1,23,0,0,0,2,60,0,0,6,0,1.010145,1,0,0,0,0,0,0,0,0,1,0,1,62,2,0,4,21,0,0,0,0,4,0,0,0,0,0,20,1,1,0,2,0,9,0,0,2,0,0,0,23,0,1,5,0,0,4,0,0,0,2,0,100,0,2,0,1099,0,0,9,2,1943,0,1,0,6402,0,499096,-1,-1,-1,0,-1,0,60000,1,1,1,2,-1,-1,-1,23
