,var_name,range_key,n_unq_vals,info_from_api
249,HUPAOC,False,5,True
250,WGTP72,True,573,True
251,WGTP71,True,562,True
252,WGTP78,True,555,True
253,MV,False,8,True
254,WGTP77,True,561,True
255,WGTP79,True,565,True
256,WGTP74,True,558,True
257,WGTP73,True,546,True
258,WGTP76,True,562,True
259,WGTP75,True,562,True
260,FAGSP,False,3,True
261,ANC,False,4,True
262,OIP,True,207,True
263,WGTP80,True,555,True
264,NP,True,17,True
265,NR,False,3,True
266,LNGI,False,3,True
267,ANC1P,False,180,True
268,HISPEED,False,3,True
269,PLM,False,3,True
270,RAC3P,False,76,True
271,LANP,False,90,True
272,OC,False,3,True
273,FLAPTOPP,False,3,True
274,LANX,False,3,True
275,HUPARC,False,5,True
276,FMVP,False,3,True
277,SVAL,False,3,True
278,PWGTP80,True,583,True
279,RAC2P,False,60,True
280,FPOWSP,False,2,True
281,SSP,True,328,True
282,R18,False,3,True
283,NAICSP,False,261,True
284,WATFP,False,4,True
285,RMSP,True,20,True
286,BDSP,True,10,True
287,FGASP,False,3,True
288,RESMODE,False,4,True
289,REFR,False,3,True
290,POWSP,False,54,True
291,FPLMP,False,3,True
292,JWAP,False,255,True
293,DIALUP,False,3,True
294,ELEFP,False,4,True
295,RELSHIPP,False,19,True
296,MIG,False,4,True
297,RC,False,3,True
298,MIL,False,5,True
299,WAOB,False,8,True
300,FHINS7P,False,2,True
301,INTP,True,313,True
302,RACASN,False,2,True
303,FINDP,False,2,True
304,FHISPEEDP,False,3,True
305,FPAP,False,2,True
306,JWMNP,True,87,True
307,FHINS6P,False,2,True
308,FKITP,False,3,True
309,INSP,True,168,True
310,YBL,False,24,True
311,FFINCP,False,3,True
312,FINCP,True,2735,True
313,YOEP,False,77,True
314,FSMXHP,False,3,True
315,FTABLETP,False,3,True
316,FLANXP,False,2,True
317,FCOWP,False,2,True
318,GRNTP,True,868,True
319,FJWMNP,False,2,True
320,HINS2,False,2,True
321,HINS3,False,2,True
322,FDDRSP,False,2,True
323,FWAGP,False,2,True
324,FGRNTP,False,3,True
325,PUMA,True,795,True
326,FHINS5P,False,2,True
327,FHINS5C,False,2,True
328,FVACSP,False,2,True
329,FHOTWATP,False,2,True
330,R60,False,4,True
331,FMARHDP,False,2,True
332,R65,False,4,True
333,MARHT,False,4,True
334,SERIALNO,False,10098,False
335,DECADE,False,9,True
336,MARHW,False,3,True
337,MARHM,False,3,True
338,PSF,False,3,True
339,NOC,True,12,True
340,POBP,False,169,True
341,CPLT,False,5,True
342,NOP,False,9,True
343,FSMARTPHONP,False,3,True
344,FULP,True,116,True
345,FHINS3P,False,2,True
